FromID,ToID,Raw_MW,Price
ethylene dichloride (edc),CHEM-000082,28.05,1.265
ethylene dichloride (edc),CHEM-000083,35.43,0.05
ethylenediamine (eda),CHEM-000084,98.96,0.25
ethylenediamine (eda),CHEM-000085,17.03,0.59
tetraethylenepentamine (tepa),CHEM-000084,98.96,0.25
tetraethylenepentamine (tepa),CHEM-000085,17.03,0.59
monoethanolamine (mea),CHEM-000053,44.05,0.954
monoethanolamine (mea),CHEM-000085,17.03,0.59
diethanolamine (dea),CHEM-000053,44.05,0.954
diethanolamine (dea),CHEM-000085,17.03,0.59
aminoethyl ethanolamine (aeea),CHEM-000086,60.1,1.62
aminoethyl ethanolamine (aeea),CHEM-000053,44.05,0.954
chromic acid flakes,CHEM-000087,261.97,1.59
chromic acid flakes,CHEM-000088,98.07,0.04
copper(ii) nitrate trihydrate,CHEM-000089,63.55,8.912
copper(ii) nitrate trihydrate,CHEM-000090,63.01,0.3
isophorone,CHEM-000064,58.02,0.745
isophoronenitrile,CHEM-000009,138.21,1.58
isophoronenitrile,CHEM-000091,27.02,0
isophorone diamine (ipda),CHEM-000010,165.23,1.58
isophorone diamine (ipda),CHEM-000092,2.01,0
isophorone diamine (ipda),CHEM-000085,17.01,0.59
phosphorous pentoxide (p2o5),CHEM-000093,123.89,2.85
phosphorous pentoxide (p2o5),CHEM-000094,32,0
paraformaldehyde,CHEM-000095,32.04,0.34
alpha naphthylamine,CHEM-000096,128.17,0.75
alpha naphthylamine,CHEM-000090,63.01,0.25
alpha naphthylamine,CHEM-000097,147.01,1.02
alpha naphthylamine,CHEM-000098,105.98,0
chloro benzene,CHEM-000099,78.11,0.62
chloro benzene,CHEM-000083,70.9,0.01
para nitro aniline,CHEM-000100,157.55,0.67
para nitro aniline,CHEM-000085,17.03,0.08
para nitro aniline,CHEM-000101,18.01,0
para nitro aniline,CHEM-000102,74.09,0
para nitro aniline,CHEM-000103,58.44,0
phenyl alpha naphthylamine,CHEM-000104,93.13,1.13
phenyl alpha naphthylamine,CHEM-000014,143.19,1.16
hexylene glycol,CHEM-000019,116.16,0.75
hexylene glycol,CHEM-000092,2.106,0
diacetone alcohol,CHEM-000064,58.08,0.75
diacetone alcohol,CHEM-000105,171.34,0
dbnpa,CHEM-000106,84.08,3.01
dbnpa,CHEM-000107,79.9,0.91
5-chloro-2-methyl-3(2h)-isothiazolone(cmit),CHEM-000108,86.09,1
5-chloro-2-methyl-3(2h)-isothiazolone(cmit),CHEM-000109,88.11,0.73
isopropanol,CHEM-000064,58.08,0.74
ethyl acetoacetate,CHEM-000056,60.05,0.41
ethyl acetoacetate,CHEM-000109,88.11,0.73555
ethyl acetoacetate,CHEM-000110,22.99,0
acetylacetone,CHEM-000064,58.08,0.745
acetylacetone,CHEM-000109,88.11,0.736
acetylacetone,CHEM-000111,54.03,0
titanium tetrachloride,CHEM-000112,79.866,2.81
titanium tetrachloride,CHEM-000083,70.9,0.05
benzaldehyde,CHEM-000057,92.14,0.8
benzaldehyde,CHEM-000083,35.453,0.02
polyisobutene (pib),CHEM-000113,0,0.635
polyvinyl alcohol (pva),CHEM-000114,86.09,0.73
polyvinyl alcohol (pva),CHEM-000056,60.05,0.405
polyvinyl alcohol (pva),CHEM-000048,30.03,0
polyvinyl alcohol (pva),CHEM-000115,242.23,0
polyethylene glycol (peg),CHEM-000053,44.05,0.955
zinc oxide - active,CHEM-000116,44.05,2.984
ddsa,CHEM-000117,168.32,0.0017
ddsa,CHEM-000118,98.06,1.05
copper sulphate,CHEM-000089,63.54,8.828
copper sulphate,CHEM-000119,98.06,0.00004
dodiflow 57501,CHEM-000082,0,1.182
dodiflow 57501,CHEM-000114,0,1.57
1-decene,CHEM-000082,156.06,0.608
n-methyl aniline,CHEM-000104,93.13,1.14
n-methyl aniline,CHEM-000095,32.04,0
n-butanol,CHEM-000036,42.081,0.824
2 eh,CHEM-000120,42.081,0.829
butyl cellosolve,CHEM-000036,74.12,0.855
butyl cellosolve,CHEM-000053,44.05,1.395
phthalic anhydride,CHEM-000121,106.16,0.85
dimethyl sebacate,CHEM-000122,202.25,0.0036
dimethyl sebacate,CHEM-000095,32.02,0.3475
tertiary butyl hydroquinone,CHEM-000123,110.11,0.00475
butyl acetate,CHEM-000036,74.12,0.865
butyl acetate,CHEM-000056,60.05,0.405
glyoxal 40,CHEM-000124,62.07,0
4-dodecylphenol,CHEM-000059,94.11,0.9
methyl carbitol,CHEM-000053,44.05,1.395
methyl carbitol,CHEM-000095,32.04,0.348
2-ethylhexyl nitrate,CHEM-000125,130.23,1.01
butyl acrylate,CHEM-000036,74.12,0.85
formaldehyde,CHEM-000095,32.04,0.3475
2-ethylhexyl amine (2eha),CHEM-000126,130.23,1.435
deha,CHEM-000127,73.14,0.675
deha,CHEM-000128,101.19,1
4-hydroxy-tempo,CHEM-000064,58.1,0.745
armeen 2ht,CHEM-000129,0,0.94
ethylene oxide,CHEM-000082,28.05,"1,265.00"
calcium stearate,CHEM-000130,0,0
3-methoxy propylamine,CHEM-000063,58.07,0.97
3-methoxy propylamine,CHEM-000095,32.04,0.35
acetic acid,CHEM-000095,32.04,28.01
acetic acid,CHEM-000131,28.01,0
toluene,CHEM-000132,106.16,1.04
bronopol,CHEM-000133,61.04,2.58
bronopol,CHEM-000134,159.8,3.09
bronopol,CHEM-000095,32.04,0.33
phenol,CHEM-000099,78.11,0.88
phenol,CHEM-000120,42.08,0.82
2-mercaptoethanol,CHEM-000053,44.05,0.96
"2-ethyl-1,3-hexanediol",CHEM-000135,130.23,1.01
2-ethylhexanoic acid,CHEM-000136,128.21,1.01
propylene oxide,CHEM-000120,42.08,0.82
acetone,CHEM-000099,78.11,0.995
phosphorus pentasulfide,CHEM-000137,123.89,2.78
octanethiol,CHEM-000138,112.21,2.15
triisopropanolamine,CHEM-000063,58.1,0.995
sodium borohydride,CHEM-000139,103.93,0
sodium borohydride,CHEM-000140,24,0
camphor (synthetic),CHEM-000141,136.23,0
cyclohexanone oxime,CHEM-000142,98.15,0
cyclohexanone oxime,CHEM-000143,33.03,0
tallow diamine,CHEM-000144,0,1.04
tallow diamine,CHEM-000145,60.1,0
boron trifluoride etherate,CHEM-000146,136.8,7.71
boron trifluoride etherate,CHEM-000147,74.1,0
thps-75,CHEM-000148,137.33,1.61
thps-75,CHEM-000048,30.03,0.24
thps-75,CHEM-000149,40,0
