ID,MATERIALS,MolWeight,Price
CHEM-000001,ethylene dichloride (edc),98.96,1.265
CHEM-000002,ethylenediamine (eda),60.1,0.25
CHEM-000003,tetraethylenepentamine (tepa),189.3,0.25
CHEM-000004,monoethanolamine (mea),61.08,0.954
CHEM-000005,diethanolamine (dea),105.14,0.954
CHEM-000006,aminoethyl ethanolamine (aeea),104.153,1.62
CHEM-000007,chromic acid flakes,118.01,1.59
CHEM-000008,copper(ii) nitrate trihydrate,241.6,8.912
CHEM-000009,isophorone,0,0.745
CHEM-000010,isophoronenitrile,165.23,1.58
CHEM-000011,isophorone diamine (ipda),170.3,1.58
CHEM-000012,phosphorous pentoxide (p2o5),283.889,2.85
CHEM-000013,paraformaldehyde,0,0.34
CHEM-000014,alpha naphthylamine,0,0.75
CHEM-000015,chloro benzene,0,0.62
CHEM-000016,para nitro aniline,0,0.67
CHEM-000017,phenyl alpha naphthylamine,219.28,1.13
CHEM-000018,hexylene glycol,0,0.75
CHEM-000019,diacetone alcohol,0,0.75
CHEM-000020,dbnpa,241.87,3.01
CHEM-000021,5-chloro-2-methyl-3(2h)-isothiazolone(cmit),0,1
CHEM-000022,isopropanol,0,0.74
CHEM-000023,ethyl acetoacetate,0,0.41
CHEM-000024,acetylacetone,0,0.745
CHEM-000025,titanium tetrachloride,0,2.81
CHEM-000026,benzaldehyde,106.124,0.8
CHEM-000027,polyisobutene (pib),0,0.635
CHEM-000028,polyvinyl alcohol (pva),44.053,0.73
CHEM-000029,polyethylene glycol (peg),62.06,0.955
CHEM-000030,zinc oxide - active,0,2.984
CHEM-000031,ddsa,44.053,0.0017
CHEM-000032,copper sulphate,156.06,8.828
CHEM-000033,dodiflow 57501,0,1.182
CHEM-000034,1-decene,0,0.608
CHEM-000035,n-methyl aniline,107.1531,1.14
CHEM-000036,n-butanol,107.1531,0.824
CHEM-000037,2 eh,130.23,0.829
CHEM-000038,butyl cellosolve,118.1742,0.855
CHEM-000039,phthalic anhydride,148.1,0.85
CHEM-000040,dimethyl sebacate,230.3,0.0036
CHEM-000041,tertiary butyl hydroquinone,166.221,0.00475
CHEM-000042,butyl acetate,116.16,0.865
CHEM-000043,glyoxal 40,58.0361,0
CHEM-000044,4-dodecylphenol,262.4302,0.9
CHEM-000045,methyl carbitol,120.15,1.395
CHEM-000046,2-ethylhexyl nitrate,175.22,1.01
CHEM-000047,butyl acrylate,128.17,0.85
CHEM-000048,formaldehyde,30.03,0.3475
CHEM-000049,2-ethylhexyl amine (2eha),129.25,1.435
CHEM-000050,deha,89.1,0.675
CHEM-000051,4-hydroxy-tempo,172.24,0.745
CHEM-000052,armeen 2ht,172.24,0.94
CHEM-000053,ethylene oxide,44.05,1265
CHEM-000054,calcium stearate,607.02,0
CHEM-000055,3-methoxy propylamine,89.14,0.97
CHEM-000056,acetic acid,60.05,28.01
CHEM-000057,toluene,92.14,1.04
CHEM-000058,bronopol,199.99,2.58
CHEM-000059,phenol,94.11,0.88
CHEM-000060,2-mercaptoethanol,78.13,0.96
CHEM-000061,"2-ethyl-1,3-hexanediol",146.23,1.01
CHEM-000062,2-ethylhexanoic acid,144.24,1.01
CHEM-000063,propylene oxide,58.07,0.82
CHEM-000064,acetone,58.08,0.995
CHEM-000065,phosphorus pentasulfide,444.56,2.78
CHEM-000066,octanethiol,146.29,2.15
CHEM-000067,triisopropanolamine,191.26,0.995
CHEM-000068,sodium borohydride,37.83,0
CHEM-000069,camphor (synthetic),152.23,0
CHEM-000070,cyclohexanone oxime,113.16,0
CHEM-000071,tallow diamine,113.16,1.04
CHEM-000072,boron trifluoride etherate,210.8,7.71
CHEM-000073,thps-75,248.25,1.61
CHEM-000074,dipropylamine,101.19,0.95
CHEM-000075,nickel sulphate anhydrous,154.75,0
CHEM-000076,para-tertiary amyl phenol (ptap),164.24,0.725
CHEM-000077,n-propyl alcohol,60.1,0.61
CHEM-000078,tricresyl phosphate,368.37,2.4
CHEM-000079,tolytriazole,133.16,2.22
CHEM-000080,salicylaldehyde,122.12,870
CHEM-000081,methyl chloride,50.49,0.3475
CHEM-000082,ethylene,28.05,1.265
CHEM-000083,chlorine,35.43,0.05
CHEM-000084,ethylene dichloride,98.96,0.25
CHEM-000085,ammonia,17.03,0.59
CHEM-000086,ethylenediamine,60.1,1.62
CHEM-000087,sodium bichromate,261.97,1.59
CHEM-000088,sulfuric acid,98.07,0.04
CHEM-000089,copper,63.55,8.912
CHEM-000090,nitric acid,63.01,0.3
CHEM-000091,hydrogen cyanide,27.02,0
CHEM-000092,hydrogen,2.01,0
CHEM-000093,phosphorous (yellow),123.89,2.85
CHEM-000094,oxygen (o2),32,0
CHEM-000095,methanol,32.04,0.34
CHEM-000096,naphthalene,128.17,0.75
CHEM-000097,odcb,147.01,1.02
CHEM-000098,soda ash,105.98,0
CHEM-000099,benzene,78.11,0.62
CHEM-000100,pncb,157.55,0.67
CHEM-000101,water,18.01,0
CHEM-000102,lime,74.09,0
CHEM-000103,salt,58.44,0
CHEM-000104,aniline,93.13,1.13
CHEM-000105,barium hydroxide,171.34,0
CHEM-000106,2-cyanoacetamide,84.08,3.01
CHEM-000107,sodium bromate (liquid bromine),79.9,0.91
CHEM-000108,methyl acrylate,86.09,1
CHEM-000109,ethyl acetate,88.11,0.73
CHEM-000110,sodium metal,22.99,0
CHEM-000111,sodium methoxide,54.03,0
CHEM-000112,titanium dioxide,79.866,2.81
CHEM-000113,naphatha,0,0.635
CHEM-000114,vam,86.09,0.73
CHEM-000115,benzoyl peroxide,242.23,0
CHEM-000116,zinc,44.05,2.984
CHEM-000117,propylene tetramer,168.32,0.0017
CHEM-000118,maleic anhydride,98.06,1.05
CHEM-000119,sulphuric acid,98.06,0.00004
CHEM-000120,propylene,42.081,0.829
CHEM-000121,ortho xylene,106.16,0.85
CHEM-000122,sebacic acid,202.25,0.0036
CHEM-000123,hydroquinone,110.11,0.00475
CHEM-000124,mono ethylene glycol,62.07,0
CHEM-000125,2-ethylhexanol (2eh),130.23,1.01
CHEM-000126,2-ethylhexanol (“2 eh”),130.23,1.435
CHEM-000127,dea,73.14,0.675
CHEM-000128,tea,101.19,1
CHEM-000129,tallow (animal fats),0,0.94
CHEM-000130,stearic acid,0,0
CHEM-000131,carbon monoxide,28.01,0
CHEM-000132,xylene,106.16,1.04
CHEM-000133,nitro methane,61.04,2.58
CHEM-000134,bromine,159.8,3.09
CHEM-000135,2-ethylhexanol,130.23,1.01
CHEM-000136,2-ethylhexenal,128.21,1.01
CHEM-000137,yellow phosphorus,123.89,2.78
CHEM-000138,1-octene,112.21,2.15
CHEM-000139,trimethyl borate,103.93,0
CHEM-000140,sodium hydride,24,0
CHEM-000141,pinene,136.23,0
CHEM-000142,cyclohexanone,98.15,0
CHEM-000143,hydroxylamine,33.03,0
CHEM-000144,tallow fatty acids,0,1.04
CHEM-000145,ethylene diamine,60.1,0
CHEM-000146,boron trifluoride,136.8,7.71
CHEM-000147,diethyl ether,74.1,0
CHEM-000148,phosphorus trichloride,137.33,1.61
CHEM-000149,sodium hydroxide,40,0
CHEM-000150,nickel,58.69,0
CHEM-000151,cresol,324.42,2.4
CHEM-000152,phosphorus oxychloride,137.33,0.266
CHEM-000153,ortho toluidine,107.15,2.22
